x,y1,y2
851,452,416
1008,516,516
808,508,532
804,463,438
964,436,449
1010,549,509
1228,462,480
989,591,552
776,490,516
782,511,536
863,537,528
970,542,529
779,545,570
748,450,455
863,528,528
1059,602,535
760,515,534
727,431,453
854,527,516
1085,508,524
891,585,559
779,501,495
789,605,587
928,342,347
649,534,515
891,496,446
1040,335,264
1074,540,531
925,486,497
970,562,517
817,495,494
999,385,377
764,481,505
940,532,522
1068,413,394
796,482,505
660,542,552
977,410,429
778,516,516
1012,606,583
780,507,532
684,513,520
884,482,505
849,504,533
1201,458,472
963,359,346
900,469,463
1025,434,428
1078,541,544
831,248,209
1033,417,411
1006,507,541
993,468,461
1073,545,545
1113,554,538
969,518,528
916,533,516
